MVID,MVNAME,OBO,OPG_DATE,TOTAL_0_UNAIDED AWARENESS,MU25_0_UNAIDED AWARENESS,MO25_0_UNAIDED AWARENESS,FU25_0_UNAIDED AWARENESS,FO25_0_UNAIDED AWARENESS,CAUC_0_UNAIDED AWARENESS,AF-AM_0_UNAIDED AWARENESS,LATINO_0_UNAIDED AWARENESS,ASN_OTHER_0_UNAIDED AWARENESS,TOTAL_0_TOTAL AWARENESS,MU25_0_TOTAL AWARENESS,MO25_0_TOTAL AWARENESS,FU25_0_TOTAL AWARENESS,FO25_0_TOTAL AWARENESS,CAUC_0_TOTAL AWARENESS,AF-AM_0_TOTAL AWARENESS,LATINO_0_TOTAL AWARENESS,ASN_OTHER_0_TOTAL AWARENESS,TOTAL_0_DEFINITE INTERST,MU25_0_DEFINITE INTERST,MO25_0_DEFINITE INTERST,FU25_0_DEFINITE INTERST,FO25_0_DEFINITE INTERST,CAUC_0_DEFINITE INTERST,AF-AM_0_DEFINITE INTERST,LATINO_0_DEFINITE INTERST,ASN_OTHER_0_DEFINITE INTERST,TOTAL_0_FIRST CHOICE,MU25_0_FIRST CHOICE,MO25_0_FIRST CHOICE,FU25_0_FIRST CHOICE,FO25_0_FIRST CHOICE,CAUC_0_FIRST CHOICE,AF-AM_0_FIRST CHOICE,ASN_OTHER_0_FIRST CHOICE,LATINO_0_FIRST CHOICE,TOTAL_0_FC_OP_REL,MU25_0_FC_OP_REL,MO25_0_FC_OP_REL,FU25_0_FC_OP_REL,FO25_0_FC_OP_REL,CAUC_0_FC_OP_REL,AF-AM_0_FC_OP_REL,LATINO_0_FC_OP_REL,ASN_OTHER_0_FC_OP_REL,TOTAL_0_UNAID INTENT,MU25_0_UNAID INTENT,MO25_0_UNAID INTENT,FU25_0_UNAID INTENT,FO25_0_UNAID INTENT,CAUC_0_UNAID INTENT,AF-AM_0_UNAID INTENT,LATINO_0_UNAID INTENT,ASN_OTHER_0_UNAID INTENT,CRITICSCORE,SCRNS,RATING_G,RATING_PG,RATING_PG-13,RATING_R,GENRE_ACTION ADVENTURE,GENRE_ACTION COMEDY,GENRE_ACTION DRAMA,GENRE_FAMILY,GENRE_HORROR,GENRE_HUMN INTST CMDY,GENRE_HUMN INTST DRMA,GENRE_ROMANTIC COMEDY,GENRE_ROMANTIC DRAMA,GENRE_SUSPNS/THRILLER,GENRE_ZANY COMEDY,GENRE_2_HIGH,GENRE_2_LOW,CAST_ANI CAST,CAST_KNOWN CAST,CAST_STAR CAST,CAST_UNKNOWN CAST,SEQUEL_NON-SEQUEL,SEQUEL_SEQUEL,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,STUDIO_GROUP_BIG,STUDIO_GROUP_SMALL,HowMany_LastWeek,HowMany_ThisWeek,HowMany_NextWeek,LastWeek_Big,LastWeek_Small
47001,Trainwreck,30097040,7/17/2015,22,19,20,24,23,22,20,20,21,64,54,66,66,70,64,70,59,56,33,25,31,34,39,30,37,40,33,6,2,6,10,8,7,7,3,5,7,3,7,11,9,8,7,7,6,4,2,3,5,5,5,4,2,4,85,3158,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,3,1,2
47092,Poltergeist (2015),26341432,5/22/2015,18,19,16,19,19,17,20,19,24,80,84,80,79,79,79,84,83,70,37,40,36,38,34,34,49,39,26,7,7,6,9,7,6,12,6,8,12,12,9,17,12,11,19,11,8,4,4,2,4,4,3,5,5,3,32,3240,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,2,1,0
47093,War for the Planet of the Apes,56262929,7/14/2017,30,29,32,25,30,29,33,31,32,94,96,93,93,93,93,93,95,92,46,52,55,38,37,42,57,52,48,13,13,18,9,11,12,20,9,16,21,20,26,17,19,20,26,21,29,9,10,12,6,7,8,12,11,13,94,4022,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,1,0
47095,Despicable Me 3,72434025,6/30/2017,32,28,26,34,39,31,30,30,48,95,97,92,97,97,95,93,96,100,50,47,44,53,58,50,48,52,49,14,9,11,15,21,15,8,24,12,21,19,17,24,26,22,14,22,28,10,8,8,10,14,10,6,9,17,62,4529,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,0
47096,Dr. Seuss' The Grinch,67572855,11/9/2018,44,38,38,49,52,47,33,47,34,94,92,92,96,97,94,91,95,94,49,46,42,56,56,47,46,63,42,14,12,9,15,19,15,5,16,16,26,27,21,27,31,28,14,34,15,16,13,13,17,20,17,8,19,11,58,4141,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,3,1,0
47097,Sing (2016),54931630,12/21/2016,33,31,25,39,36,33,35,31,35,79,78,74,83,85,80,78,80,75,49,46,37,59,53,47,52,53,52,9,7,7,15,10,9,9,8,10,13,9,8,21,16,13,16,14,15,9,7,6,13,12,9,9,10,6,69,4022,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,1,1
47140,"Nut Job 2: Nutty by Nature, The",8342311,8/11/2017,16,14,11,22,19,17,16,14,11,70,73,69,71,70,69,68,74,68,31,31,25,38,33,28,33,34,39,5,4,3,6,6,4,6,3,6,6,5,4,8,8,6,6,7,6,4,3,3,6,4,4,4,5,1,11,4003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,0,1
47199,Everest (2015),13242895,9/25/2015,20,19,21,17,20,21,13,20,19,76,78,83,68,75,77,69,75,79,37,39,40,32,39,37,34,40,44,7,8,8,6,6,8,5,8,5,11,12,16,9,8,13,6,8,16,5,6,7,3,7,7,3,5,9,72,3006,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,2,0,0
47239,Rock the Kasbah,1470592,10/23/2015,6,6,6,7,7,7,5,6,5,52,50,61,41,57,55,51,46,49,23,23,26,21,24,25,18,26,21,3,3,2,1,4,3,6,4,3,4,2,7,2,3,3,5,4,6,2,2,1,2,2,2,1,1,1,7,2012,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5,2,0,1
47317,"Legend of Tarzan, The",46582405,7/1/2016,25,24,24,26,27,25,25,27,22,91,91,92,89,92,91,91,89,96,42,43,40,45,41,39,53,46,37,8,8,10,8,7,8,9,3,8,9,9,10,8,10,9,9,10,10,5,4,7,7,5,7,5,5,1,36,3561,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,2,0,1
47325,Bridget Jones's Baby,8571785,9/16/2016,15,12,12,16,19,15,12,15,15,76,63,73,79,88,77,77,73,72,27,21,19,27,34,27,27,24,31,6,2,3,6,12,7,2,5,7,9,4,5,9,18,11,6,8,4,1,0,1,1,3,1,1,1,0,78,2927,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,3,2,0,2
47332,Masterminds (2016),6541205,9/30/2016,12,12,12,10,12,11,14,11,13,69,73,74,61,69,69,68,69,75,36,38,36,33,37,36,38,38,24,5,5,7,3,4,5,6,0,5,9,10,11,5,8,9,11,7,5,1,0,2,1,1,1,1,1,1,34,3042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,3,0,0
47465,"Dark Tower, The",19153698,8/4/2017,22,22,25,20,21,23,24,19,28,74,71,84,60,71,72,82,73,78,45,49,47,41,41,43,55,48,27,9,11,11,6,8,8,11,8,11,12,12,13,11,10,11,12,14,12,5,5,7,2,3,5,6,3,3,18,3451,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,3,0,0
47508,Aloha,9670235,5/29/2015,16,14,16,17,17,15,15,17,18,63,56,62,65,67,63,59,63,62,27,20,21,32,34,28,21,29,34,4,2,3,6,7,4,1,7,8,7,4,6,9,10,8,4,7,6,2,1,1,3,4,3,1,3,3,21,2815,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,3,0,0
47509,"Brothers Grimsby, The",3258327,3/11/2016,6,7,6,7,6,6,5,6,10,57,60,65,51,54,59,51,55,57,22,26,24,18,18,21,25,25,16,2,3,1,1,3,2,2,2,2,4,6,4,2,3,4,2,5,5,0,1,0,0,0,0,0,0,1,38,2235,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,1
47512,Goosebumps,23618556,10/16/2015,25,26,23,28,24,25,28,24,25,81,84,75,88,78,82,83,80,75,42,46,38,46,36,40,50,42,44,5,7,4,6,5,5,7,6,6,13,17,11,11,10,12,15,15,7,6,6,4,6,6,5,8,7,5,73,3501,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,5,0,1
47547,"Man from U.N.C.L.E., The",13421036,8/14/2015,13,13,16,11,14,15,11,11,15,66,66,73,56,68,67,60,66,59,35,38,44,22,33,34,39,35,37,6,9,6,3,7,7,4,11,3,7,9,7,3,8,8,6,3,13,5,4,6,3,5,5,2,5,5,66,3638,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2,3,0,2
47557,"Lego Batman Movie, The",53003468,2/10/2017,30,32,28,29,31,31,27,29,30,92,90,92,91,93,92,92,93,96,46,51,44,41,48,45,45,49,43,13,16,10,12,12,15,7,14,10,20,24,20,15,21,22,15,19,17,9,12,8,8,9,10,8,8,5,91,4088,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,1
47628,"Conjuring 2, The",40406314,6/10/2016,20,22,17,24,20,20,24,23,19,79,81,75,83,75,76,85,86,75,37,39,35,39,34,33,44,44,25,8,8,6,9,7,6,12,1,10,12,13,8,16,10,9,21,14,3,4,5,3,5,3,3,6,5,3,76,3343,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,2,0,1
47629,How to Be Single,19904293,2/12/2016,20,14,16,25,24,21,17,18,16,71,59,61,79,83,71,73,70,62,36,25,26,42,43,35,35,41,27,6,1,3,13,10,8,3,2,7,7,1,3,12,12,8,5,6,7,3,0,1,5,5,3,2,2,1,47,3343,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,1
47709,American Ultra,5454284,8/21/2015,10,10,9,10,9,10,9,10,13,54,56,56,52,51,53,52,54,64,31,33,31,31,28,31,30,32,23,4,4,3,5,4,3,2,6,7,5,5,5,6,5,5,2,8,3,2,2,2,2,1,2,0,3,3,47,2778,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,2,1,0
47769,Ride Along 2,41006705,1/15/2016,25,27,24,25,25,23,39,25,22,80,82,80,79,79,78,93,79,71,44,53,37,47,41,38,68,49,33,11,16,9,9,11,7,31,14,11,16,22,13,14,14,10,41,14,19,6,9,6,5,6,2,23,6,5,13,3175,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,0
47846,Logan,88411916,3/3/2017,38,40,43,36,34,38,35,41,40,84,86,91,76,80,82,84,86,87,63,66,71,56,59,61,69,65,66,18,23,25,12,13,17,22,17,18,26,29,30,21,23,24,31,28,31,15,16,20,9,12,14,15,15,16,92,4071,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,2
47847,Alien: Covenant,36160621,5/19/2017,22,23,27,15,19,19,27,26,23,81,80,90,67,77,80,84,81,79,45,49,52,38,34,43,54,44,44,12,13,18,5,7,11,16,10,10,19,23,28,11,11,18,27,19,21,6,8,9,2,4,5,8,10,6,71,3761,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,2,0,0
48052,Zootopia,75063401,3/4/2016,35,32,30,38,40,36,31,31,43,85,86,80,87,87,87,79,85,86,51,50,44,52,56,50,46,54,55,11,9,9,14,13,12,9,19,8,19,16,15,22,21,20,18,14,34,9,6,6,10,13,9,7,10,10,99,3827,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,3,0,2
48080,King Arthur: Legend of the Sword,15371270,5/12/2017,16,14,18,10,19,16,16,18,16,77,76,82,70,76,77,76,78,78,41,40,45,33,41,40,43,45,35,7,6,9,4,8,7,10,6,7,14,13,19,6,13,15,15,13,14,4,3,4,1,5,3,2,7,2,28,3702,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,3,1,0
48089,Magic Mike XXL,12857184,7/1/2015,21,15,16,25,27,22,23,17,23,83,75,81,88,90,84,85,82,78,28,13,21,34,42,27,32,30,36,7,2,3,8,13,7,7,6,5,9,3,5,13,17,10,9,7,12,3,0,2,4,7,4,4,2,4,64,3355,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,3,0,0
48138,"Night Before, The (2015)",9880536,11/20/2015,15,15,14,17,13,14,17,15,9,63,62,66,65,61,62,64,70,57,42,45,39,44,41,40,46,47,42,5,7,3,5,4,5,5,2,6,8,11,5,10,7,9,7,9,8,2,1,2,4,3,2,2,4,4,65,2960,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,2,0,3
48202,Sisters (2015),13922855,12/18/2015,22,16,18,28,25,23,17,21,22,75,64,69,82,84,76,72,71,81,39,28,27,55,43,39,35,44,33,6,2,2,13,9,6,5,7,5,9,2,2,18,14,9,9,8,8,4,1,2,7,4,5,2,1,4,60,2962,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,5,0,0
48267,London Has Fallen,21635601,3/4/2016,16,15,17,14,18,16,18,14,22,73,74,81,64,74,72,77,74,78,43,44,46,36,46,43,53,41,31,11,13,17,6,9,10,16,7,11,13,14,19,10,11,14,13,11,16,3,3,5,2,4,3,7,2,3,25,3490,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,2
48276,Geostorm,13707376,10/20/2017,12,15,11,9,12,12,10,12,6,63,68,72,52,56,63,62,66,57,43,47,42,37,44,42,55,45,21,6,7,7,3,6,6,7,4,8,10,9,10,6,13,9,12,13,5,3,3,2,2,3,2,5,3,0,15,3246,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,5,3,0,0
48280,Ben-Hur (2016),11203815,8/19/2016,15,15,18,11,15,16,15,13,10,65,65,79,50,68,68,58,62,65,33,34,39,25,32,32,38,37,25,4,3,6,2,3,3,4,1,5,5,5,10,2,4,5,4,7,1,3,2,4,1,2,3,4,2,0,28,3084,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,2,0,1
48313,Ricki and the Flash,6610961,8/7/2015,5,5,4,5,8,6,5,4,4,47,42,46,41,61,49,45,45,48,25,23,22,27,29,25,26,29,23,3,1,1,3,8,4,1,5,3,3,1,2,3,6,4,2,3,1,1,0,1,0,3,1,1,1,1,62,1603,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,2,1,0
48314,"Walk, The",3719177,10/9/2015,16,15,19,14,16,16,15,15,22,63,66,69,55,64,65,57,62,69,29,27,30,28,31,29,30,27,29,5,5,8,2,6,5,7,13,2,5,5,8,3,5,6,5,3,10,2,1,4,2,3,2,2,1,5,85,2509,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,4,1,0
48317,Vacation (2015),14681108,7/29/2015,22,20,22,24,24,23,22,21,18,77,73,80,76,80,79,76,74,68,41,40,42,40,42,41,46,39,29,8,5,8,8,11,8,8,4,10,9,7,9,10,12,10,7,9,6,4,4,3,4,4,4,2,4,2,25,3411,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,4,0,0
48319,Smallfoot,23045635,9/28/2018,25,22,23,28,29,27,23,24,19,73,78,69,82,70,71,73,77,70,43,37,37,47,52,44,39,48,32,9,6,7,9,11,9,7,11,9,13,11,11,14,15,14,8,13,17,6,4,6,4,9,6,6,6,6,73,4131,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,2,0,1
48377,Fantastic Beasts and Where to Find Them,74403387,11/18/2016,29,25,24,33,32,30,20,26,39,83,82,85,82,83,84,76,85,92,64,63,59,70,63,66,64,62,54,20,17,14,25,22,23,13,21,12,26,25,20,33,29,29,19,22,30,11,10,7,13,13,13,5,9,16,77,4144,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,3,0,1
48385,Point Break (2015),9800252,12/25/2015,13,15,14,12,11,13,15,13,11,66,71,81,50,64,69,61,61,67,32,36,36,28,26,29,39,37,33,3,3,4,3,2,2,4,0,5,4,3,6,3,3,3,7,5,0,2,2,3,1,1,2,2,2,1,7,2910,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,1,1,0
48386,Kong: Skull Island,61025472,3/10/2017,24,25,29,21,18,23,24,25,26,86,88,92,79,84,86,87,86,84,51,61,58,40,42,49,55,54,55,12,18,17,6,7,12,12,8,13,17,22,22,12,11,17,16,19,13,8,9,13,4,4,7,7,7,11,77,3846,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,1
48473,"Lego Ninjago Movie, The",20433071,9/22/2017,18,19,15,18,21,19,16,17,14,87,89,87,85,87,87,83,86,94,30,34,31,25,30,26,31,38,38,7,9,8,8,6,7,5,14,8,12,17,11,10,13,11,10,15,24,4,3,4,3,5,4,4,5,1,50,4047,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,2,0,1
48478,"Forest, The (2016-I)",12741176,1/8/2016,15,14,13,16,15,13,19,15,14,58,56,60,62,55,57,64,60,48,37,37,37,40,35,34,49,42,25,4,2,5,6,6,3,7,2,6,7,5,7,8,8,6,11,8,2,2,2,1,3,2,2,3,3,1,11,2451,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0
48479,Rogue One: A Star Wars Story,155081681,12/16/2016,40,42,45,38,34,43,27,37,42,87,89,92,87,82,89,78,86,92,63,72,71,56,51,64,52,67,63,26,32,34,22,17,29,14,31,26,36,43,48,29,26,40,19,37,40,19,21,26,16,13,21,10,19,22,85,4157,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,5,0,1
48480,Neighbors 2: Sorority Rising,21760405,5/20/2016,20,20,19,22,20,20,21,19,19,81,80,82,82,81,80,86,81,83,40,44,36,47,35,39,44,43,30,10,12,6,15,8,11,9,10,9,15,17,11,21,12,16,14,14,13,3,3,2,4,3,3,3,3,2,63,3384,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,2,0,1
48525,Max (2015),12155254,6/26/2015,17,16,15,18,18,18,15,16,13,62,65,61,62,58,62,63,59,59,30,32,29,29,32,30,25,36,31,2,3,1,1,1,1,1,2,4,7,9,6,6,6,6,4,9,6,2,2,2,2,2,2,1,2,2,38,2855,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,2,1,1
48544,Scouts Guide to the Zombie Apocalypse,1841007,10/30/2015,5,7,6,5,4,6,6,6,4,55,66,54,56,46,55,57,56,57,35,38,34,36,29,32,40,42,25,2,3,2,3,2,2,2,5,1,4,5,3,3,3,3,2,3,5,0,1,1,0,0,1,0,0,0,38,1509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,2,2,0,4
48545,Sausage Party,34263534,8/12/2016,24,27,22,28,21,24,25,28,18,75,79,73,80,67,74,76,79,75,46,55,42,47,40,43,55,53,35,6,9,4,8,4,5,9,9,6,9,12,7,12,6,8,17,8,9,5,6,5,5,2,4,5,5,4,82,3103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,3,1,1
48589,Ouija: Origin of Evil,14065500,10/21/2016,19,19,18,22,17,17,21,22,20,76,77,75,84,67,73,83,82,75,38,44,34,40,35,37,39,44,28,6,4,7,7,5,5,6,7,6,9,7,12,10,8,9,9,10,10,3,2,2,4,3,2,3,4,4,82,3167,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,1,0,1
48606,Joy,17015168,12/25/2015,19,14,15,23,25,19,17,18,23,71,65,69,72,79,72,69,69,76,34,25,28,38,43,34,37,33,33,6,3,3,6,10,6,5,1,7,5,4,3,7,9,5,5,6,1,3,3,1,5,5,4,3,3,4,59,2896,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,1,1,0
48650,No Escape (2015),8111264,8/26/2015,13,13,11,14,13,13,11,12,19,67,64,74,63,67,66,69,66,75,37,37,35,37,39,37,34,40,39,5,7,3,4,11,7,4,8,4,7,6,4,9,11,8,5,8,6,2,1,2,2,1,2,1,2,3,41,3355,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,2,0,2
48656,"Boss Baby, The",50198902,3/31/2017,28,26,23,34,30,28,29,30,31,84,83,77,89,87,83,83,86,86,43,41,38,46,47,42,45,47,35,7,8,4,10,8,7,7,5,7,13,13,7,16,14,14,8,14,6,7,5,4,8,8,6,7,7,8,52,3773,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,3,0,1
48657,Captain Underpants: The First Epic Movie,23851539,6/2/2017,20,20,15,24,26,22,22,18,12,84,82,79,90,87,84,83,84,82,30,39,30,30,25,27,38,34,30,4,4,4,5,3,3,4,4,5,8,10,5,8,10,8,7,9,9,4,3,3,4,5,4,2,2,5,84,3434,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,1,0
48659,Hitman: Agent 47,8326530,8/21/2015,14,17,13,12,12,13,17,14,12,73,83,81,62,67,71,77,77,78,44,52,49,32,41,40,54,50,41,7,13,9,3,3,6,10,14,7,11,17,15,4,5,8,11,13,20,3,4,4,0,4,2,4,4,4,8,3261,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,2,1,0
48682,Max Steel,2182216,10/14/2016,14,14,12,13,15,13,19,12,11,57,61,61,53,53,54,66,61,52,32,42,30,27,29,32,30,32,37,3,5,4,2,1,3,2,5,2,7,10,9,5,3,6,5,8,9,5,6,3,4,5,4,9,6,0,0,2034,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,4,0,2
48697,"BFG, The",22716809,7/1/2016,22,22,19,23,26,23,19,23,19,74,74,71,75,76,77,72,70,68,39,35,36,43,41,37,41,42,41,4,5,2,5,5,5,3,2,5,8,8,6,10,10,10,8,6,3,3,3,2,4,4,4,2,3,5,72,3357,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,2,0,1
48698,Bridge of Spies,15371203,10/16/2015,12,13,14,10,13,13,15,11,11,61,61,74,47,62,62,60,60,62,42,40,48,33,43,43,42,43,25,5,6,5,4,6,5,5,4,6,5,4,6,4,6,5,6,5,4,2,2,2,0,2,2,1,1,1,92,2811,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,5,0,1
48699,Straight Outta Compton,60200180,8/14/2015,19,19,21,19,17,16,33,20,12,74,77,76,71,73,70,94,76,57,47,53,46,50,41,38,70,53,38,10,17,10,9,7,6,30,6,14,14,21,14,12,10,8,36,18,8,8,9,9,9,5,4,21,11,4,89,2757,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2,3,0,2
