MVID,MVNAME,OBO,OPG_DATE,TOTAL_0_UNAIDED AWARENESS,MU25_0_UNAIDED AWARENESS,MO25_0_UNAIDED AWARENESS,FU25_0_UNAIDED AWARENESS,FO25_0_UNAIDED AWARENESS,CAUC_0_UNAIDED AWARENESS,AF-AM_0_UNAIDED AWARENESS,LATINO_0_UNAIDED AWARENESS,ASN_OTHER_0_UNAIDED AWARENESS,TOTAL_0_TOTAL AWARENESS,MU25_0_TOTAL AWARENESS,MO25_0_TOTAL AWARENESS,FU25_0_TOTAL AWARENESS,FO25_0_TOTAL AWARENESS,CAUC_0_TOTAL AWARENESS,AF-AM_0_TOTAL AWARENESS,LATINO_0_TOTAL AWARENESS,ASN_OTHER_0_TOTAL AWARENESS,TOTAL_0_DEFINITE INTERST,MU25_0_DEFINITE INTERST,MO25_0_DEFINITE INTERST,FU25_0_DEFINITE INTERST,FO25_0_DEFINITE INTERST,CAUC_0_DEFINITE INTERST,AF-AM_0_DEFINITE INTERST,LATINO_0_DEFINITE INTERST,ASN_OTHER_0_DEFINITE INTERST,TOTAL_0_FIRST CHOICE,MU25_0_FIRST CHOICE,MO25_0_FIRST CHOICE,FU25_0_FIRST CHOICE,FO25_0_FIRST CHOICE,CAUC_0_FIRST CHOICE,AF-AM_0_FIRST CHOICE,ASN_OTHER_0_FIRST CHOICE,LATINO_0_FIRST CHOICE,TOTAL_0_FC_OP_REL,MU25_0_FC_OP_REL,MO25_0_FC_OP_REL,FU25_0_FC_OP_REL,FO25_0_FC_OP_REL,CAUC_0_FC_OP_REL,AF-AM_0_FC_OP_REL,LATINO_0_FC_OP_REL,ASN_OTHER_0_FC_OP_REL,TOTAL_0_UNAID INTENT,MU25_0_UNAID INTENT,MO25_0_UNAID INTENT,FU25_0_UNAID INTENT,FO25_0_UNAID INTENT,CAUC_0_UNAID INTENT,AF-AM_0_UNAID INTENT,LATINO_0_UNAID INTENT,ASN_OTHER_0_UNAID INTENT,CRITICSCORE,SCRNS,RATING_G,RATING_PG,RATING_PG-13,RATING_R,GENRE_ACTION ADVENTURE,GENRE_ACTION COMEDY,GENRE_ACTION DRAMA,GENRE_FAMILY,GENRE_HORROR,GENRE_HUMN INTST CMDY,GENRE_HUMN INTST DRMA,GENRE_ROMANTIC COMEDY,GENRE_ROMANTIC DRAMA,GENRE_SUSPNS/THRILLER,GENRE_ZANY COMEDY,GENRE_2_HIGH,GENRE_2_LOW,CAST_ANI CAST,CAST_KNOWN CAST,CAST_STAR CAST,CAST_UNKNOWN CAST,SEQUEL_NON-SEQUEL,SEQUEL_SEQUEL,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,STUDIO_GROUP_BIG,STUDIO_GROUP_SMALL,HowMany_LastWeek,HowMany_ThisWeek,HowMany_NextWeek,LastWeek_Big,LastWeek_Small
45497,Thor: Ragnarok,122744989,11/3/2017,45,46,49,38,43,44,40,51,47,89,90,91,87,88,87,94,93,88,61,68,64,60,52,55,61,70,75,25,27,30,22,19,23,20,39,28,41,48,48,35,31,38,33,49,53,23,23,27,20,21,22,20,27,30,93,4080,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,2,0,2
45507,Independence Day: Resurgence,41039944,6/24/2016,24,22,29,21,26,24,24,23,26,88,90,92,81,88,88,92,86,81,49,50,60,37,49,48,56,52,42,15,16,25,5,13,14,18,18,14,17,18,28,7,14,15,21,17,27,9,10,13,3,9,9,9,9,10,32,4068,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,3,1,0
45565,Terminator: Genisys,27018486,7/1/2015,23,24,28,19,22,24,20,23,29,84,91,90,73,82,83,86,83,83,48,52,61,32,42,46,55,48,51,11,14,16,4,8,9,11,19,13,15,20,23,6,11,14,11,20,21,8,10,12,4,5,7,9,7,9,27,3758,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,3,0,0
45616,Spider-Man: Homecoming,117027503,7/7/2017,42,48,46,37,35,39,42,47,50,94,98,94,93,93,92,93,98,100,55,68,58,48,46,51,64,62,52,19,29,24,11,10,18,17,20,21,31,45,38,20,20,29,31,36,34,16,23,19,11,11,15,19,18,21,93,4348,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,2,1,1
45620,Spectre,70403148,11/6/2015,29,31,36,22,26,30,28,26,31,75,78,86,64,71,75,76,71,78,53,59,63,42,47,53,58,50,56,17,20,29,7,8,16,18,21,14,17,20,32,8,12,18,17,15,26,11,13,22,4,7,12,10,10,15,63,3929,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,0,2
45653,Inferno,14860425,10/28/2016,19,19,22,16,20,20,18,18,23,75,74,83,66,79,78,66,73,77,43,46,49,35,43,44,39,44,45,8,8,10,5,11,11,6,11,6,14,13,18,8,17,16,7,15,6,3,3,5,2,3,3,1,2,3,20,3576,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,3,0,1
45815,Monster Trucks,14174039,1/13/2017,16,16,16,16,16,16,15,15,17,69,66,71,67,71,68,72,68,66,33,42,31,30,30,33,36,31,31,4,5,3,3,4,4,3,4,3,8,11,6,7,10,8,8,6,10,2,2,1,2,2,2,2,1,1,33,3119,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,0,0
45995,Batman V Superman: Dawn of Justice,166007347,3/25/2016,41,46,44,37,37,41,37,40,52,95,98,97,92,94,96,95,93,99,68,76,75,59,60,64,75,70,83,33,43,46,20,22,29,38,48,37,37,48,50,23,26,33,46,39,52,24,31,30,17,18,25,23,23,29,29,4242,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0
46068,"Green Inferno, The",3520626,9/25/2015,5,5,4,4,6,5,3,5,6,43,47,49,40,35,42,43,45,47,31,36,35,23,27,28,34,35,28,2,2,4,1,1,1,2,2,4,3,3,5,1,3,3,2,5,3,0,0,0,0,0,0,0,0,0,38,1540,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,2,0,0
46184,Warcraft,24166110,6/10/2016,17,21,19,14,15,18,15,15,18,72,81,79,65,64,70,77,74,70,35,43,40,25,28,34,38,37,30,6,8,10,4,5,7,8,1,5,7,10,13,4,4,8,9,7,3,5,9,7,3,4,6,4,5,6,29,3400,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,2,0,1
46206,Shaun the Sheep Movie,4038962,8/5/2015,11,10,10,12,12,11,11,10,8,60,57,56,63,62,61,60,59,48,21,23,17,18,26,21,18,24,20,1,1,0,1,1,1,1,1,1,4,4,2,4,7,4,6,2,6,1,0,0,1,1,1,0,0,2,99,2320,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,4,2,1,0
46227,Ted 2,33507870,6/26/2015,27,28,25,28,25,27,27,26,25,96,95,97,99,92,95,98,97,87,48,60,49,43,39,45,53,52,48,10,17,10,8,7,11,12,4,9,17,24,19,13,12,17,18,18,12,8,11,7,6,5,9,5,7,5,45,3442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,2,1,1
46547,Live by Night,6003052,1/13/2017,5,5,6,4,5,5,6,5,7,47,43,57,38,49,46,51,44,51,31,37,30,25,30,30,33,30,30,2,3,5,1,1,2,2,0,3,3,3,6,1,1,4,3,4,0,0,0,0,0,0,0,0,0,0,34,2822,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,0,0
46563,Star Wars: The Force Awakens,247966675,12/18/2015,58,57,62,56,56,61,42,57,60,97,97,100,96,97,99,93,96,97,69,78,80,56,62,69,64,73,62,42,48,57,30,32,44,23,39,50,44,49,64,31,33,44,29,53,43,41,45,49,35,36,43,28,44,45,94,4134,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,5,0,0
46618,Spy,29085719,6/5/2015,21,23,18,20,23,22,20,19,25,77,77,79,73,81,77,79,74,84,41,36,36,43,46,39,44,42,48,9,8,5,9,15,10,12,8,6,11,10,7,11,18,11,13,10,9,5,5,5,5,6,6,4,4,5,95,3711,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,1,1
46620,Mission: Impossible - Rogue Nation,55520089,7/31/2015,23,22,26,20,24,23,23,22,28,86,89,93,82,83,86,87,87,92,45,48,56,33,42,42,56,47,55,11,9,18,5,11,10,10,17,11,14,12,22,7,15,11,20,15,22,5,5,8,1,7,5,6,5,10,93,3956,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,4,0,0
46652,Insidious: Chapter 3,22692741,6/5/2015,20,22,16,24,19,19,23,22,21,77,81,73,82,75,75,84,81,72,33,38,29,35,31,29,42,39,29,5,6,3,9,3,5,7,4,6,9,11,5,13,5,8,11,8,9,3,3,1,6,2,3,5,4,1,58,3002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,1,1
46671,"Intern, The",17728313,9/25/2015,21,19,20,21,24,22,18,20,22,85,83,85,82,90,86,84,83,84,41,32,40,42,51,41,36,44,45,10,8,6,10,14,12,5,5,8,11,7,8,12,17,13,6,9,11,4,3,3,3,7,5,3,2,8,59,3305,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,2,0,0
46672,Mad Max: Fury Road,45428128,5/15/2015,26,27,30,23,24,25,28,27,30,81,84,90,70,79,81,82,82,78,43,49,55,34,32,41,51,43,46,12,14,19,6,9,11,14,15,13,18,21,30,9,12,17,20,18,23,10,12,16,5,6,10,11,8,11,98,3702,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0
46674,Entourage,10283250,6/3/2015,19,20,22,17,19,19,18,19,19,73,72,81,64,76,74,75,69,75,25,28,28,20,24,21,35,27,29,4,4,6,1,4,3,6,2,5,5,5,9,2,6,4,8,7,3,2,2,4,0,2,2,2,2,3,28,3108,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,1,1
46676,Alice Through the Looking Glass,33507621,5/27/2016,26,23,23,33,27,27,26,25,27,89,81,85,97,93,90,86,91,79,49,40,44,59,51,49,44,55,37,10,4,5,18,14,12,4,9,12,16,8,10,30,19,19,6,16,13,4,2,2,8,5,4,2,5,5,29,3763,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,3,0,0
46677,"Jungle Book, The (2016)",103261464,4/15/2016,36,35,32,39,38,36,37,34,40,95,92,93,98,96,94,95,94,100,56,53,49,61,62,54,56,62,57,18,16,17,22,19,18,16,22,20,26,22,24,29,29,25,21,33,33,9,8,7,9,14,9,9,8,15,94,4028,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,1,0,1
