MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
INTO THE WOODS,31.1,3,23,19,18,26,28,83,75,81,89,91,46,39,35,55,52,10,6,5,18,14,13,7,7,20,17,NA,NA,NA,NA,NA,2014,45375,HUMN INTST DRMA,FANTASY,DISNEY,PG,12/25/2014 0:00,12,3,1,31051923,72143214,2440,12726,2,CHRISTMAS,NA,127997349,NA
IRON MAN 3,174.1,3,52,57,55,51,47,96,98,99,94,94,71,80,80,66,62,32,39,40,25,25,55,66,63,45,49,NA,NA,NA,NA,NA,2013,38687,ACTION ADVENTURE,SUPERHERO,DISNEY,PG-13,5/3/2013 1:00,5,3,1,174144585,212421084,4253,40946,1,NA,NA,408992272,NA
IT,123.4,3,55,58,47,70,54,90,91,90,95,89,56,64,54,65,48,30,39,28,40,23,44,54,44,56,32,29,33,25,40,25,2017,67078,HORROR,ENSEMBLE CAST,WARNER BROS.,R,9/8/2017 1:00,9,3,1,123403419,158710619,4103,30076,1,NA,NA,327455467,NA
IT COMES AT NIGHT,6,3,6,7,6,6,5,44,49,45,45,38,37,45,37,35,32,3,3,3,5,3,6,7,6,8,5,1,1,1,1,0,2017,69550,HORROR,SUPERNATURAL,A24 FILMS,R,6/9/2017 1:00,6,3,1,5988370,8523164,2533,2364,6,NA,NA,13985120,NA
IT FOLLOWS,3.8,3,6,7,6,5,5,30,34,33,29,26,32,30,37,32,32,3,4,5,2,2,5,5,7,4,3,NA,NA,NA,NA,NA,2015,48594,HORROR,PSYCHOLOGICAL,THE WEINSTEIN COMPANY,R,3/27/2015 1:00,3,3,3,3811052,5341222,1218,3129,5,NA,1005,14673301,NA
JACK RYAN: SHADOW RECRUIT,18,4,11,13,14,9,9,58,62,74,46,53,37,34,47,25,34,6,5,11,3,6,6,5,13,3,6,NA,NA,NA,NA,NA,2014,43249,ACTION DRAMA,ESPIONAGE,PARAMOUNT,PG-13,1/17/2014 0:00,1,4,1,18034726,21368133,3387,5325,4,MARTIN LUTHER KING,NA,50549107,NA
JACK THE GIANT SLAYER,27.2,3,24,26,24,24,23,81,88,83,77,77,37,37,37,39,33,8,9,10,7,5,20,22,20,18,19,NA,NA,NA,NA,NA,2013,39344,ACTION ADVENTURE,FANTASY,WARNER BROS.,PG-13,3/1/2013 0:00,3,3,1,27202226,33791369,3525,7717,1,NA,NA,65171860,NA
JACKASS PRESENTS: BAD GRANDPA,32.1,3,24,24,22,25,22,77,79,78,81,70,44,58,33,49,33,10,15,6,13,5,19,30,14,22,13,NA,NA,NA,NA,NA,2013,45660,ZANY COMEDY,GROSS-OUT COMEDY,PARAMOUNT,R,10/25/2013 1:00,10,3,1,32055177,41558336,3336,9609,1,NA,NA,101978840,NA
JASON BOURNE,59.2,3,24,23,32,20,22,84,87,89,71,87,50,51,61,35,49,14,15,25,4,12,20,24,33,7,16,7,7,13,1,7,2016,46748,ACTION DRAMA,ESPIONAGE,UNIVERSAL,PG-13,7/29/2016 1:00,7,3,1,59215365,80706020,4026,14708,1,NA,NA,162162120,NA
JEM AND THE HOLOGRAMS,1.4,3,7,6,5,9,9,55,43,49,63,62,23,29,19,22,22,2,1,2,4,3,4,2,3,4,6,1,1,0,1,1,2015,49718,HUMN INTST DRMA,MUSICAL,UNIVERSAL,PG,10/23/2015 1:00,10,3,1,1375320,1640830,2413,570,15,NA,NA,2028755,NA
