MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
LUCY (2014),43.9,3,30,30,28,32,30,86,86,89,85,85,54,52,53,54,57,15,14,11,19,15,28,25,26,33,31,NA,NA,NA,NA,NA,2014,46749,ACTION DRAMA,SCIENCE FICTION,UNIVERSAL,R,7/25/2014 1:00,7,3,1,43899340,61287385,3173,13835,1,NA,NA,126546825,NA
MACHETE KILLS,3.8,3,13,13,13,11,12,69,75,81,57,60,31,35,33,32,24,6,9,6,4,2,14,19,16,12,8,NA,NA,NA,NA,NA,2013,42457,ACTION COMEDY,CRIME THEME,OPEN ROAD FILMS,R,10/11/2013 1:00,10,3,1,3837183,5199239,2538,1512,4,COLUMBUS DAY,NA,7949147,NA
MAD MAX: FURY ROAD,45.4,3,31,34,37,26,29,83,87,91,73,82,45,50,57,36,31,14,17,23,7,8,22,27,36,9,16,11,16,20,6,7,2015,46672,ACTION ADVENTURE,SCIENCE FICTION,WARNER BROS.,R,5/15/2015 1:00,5,3,1,45428128,63440279,3702,12271,2,NA,NA,153629485,NA
MAGIC IN THE MOONLIGHT,1.8,3,3,2,3,2,4,30,28,26,29,35,25,18,24,25,31,3,3,3,4,7,4,4,2,3,6,NA,NA,NA,NA,NA,2014,46390,HUMN INTST CMDY,ENSEMBLE CAST,SONY PICTURES CLASSICS,PG-13,8/15/2014 1:00,8,3,4,1786150,2658869,964,1853,14,NA,134,10541058,NA
MAGIC MIKE XXL,12.9,3,24,15,18,30,32,84,74,83,89,93,30,13,23,37,42,9,1,4,13,15,10,2,6,15,19,4,0,3,6,8,2015,48089,HUMN INTST DRMA,ENTERTAINMENT SETTING,WARNER BROS.,R,7/1/2015 1:00,7,3,1,12857184,38718829,3355,3832,4,FOURTH OF JULY,NA,66009973,NA
MALEFICENT,69.4,3,34,29,31,35,40,88,82,84,93,96,55,45,47,63,62,17,11,9,24,24,26,15,16,37,34,NA,NA,NA,NA,NA,2014,42110,FAMILY,LIVE ACTION,DISNEY,PG,5/30/2014 1:00,5,3,1,69431298,93846968,3948,17586,1,NA,NA,241407328,NA
MAMA,32.1,4,22,23,19,28,20,60,60,52,69,60,38,37,37,40,39,7,8,5,10,6,14,13,10,20,11,NA,NA,NA,NA,NA,2013,40770,HORROR,SUPERNATURAL,UNIVERSAL,PG-13,1/18/2013 0:00,1,4,1,32147815,35787440,3214,10002,1,MARTIN LUTHER KING,NA,71588220,NA
MAN OF STEEL,116.6,3,39,39,46,31,40,87,88,95,78,88,52,57,60,46,45,21,27,31,13,15,29,31,38,21,26,NA,NA,NA,NA,NA,2013,39347,ACTION ADVENTURE,SUPERHERO,WARNER BROS.,PG-13,6/14/2013 1:00,6,3,1,116619362,168790947,4207,27720,1,NA,NA,291021565,NA
MANDELA: LONG WALK TO FREEDOM,2.2,3,4,4,5,4,4,59,55,63,53,63,29,24,28,31,33,5,2,6,5,7,5,5,6,4,7,NA,NA,NA,NA,NA,2013,44574,HUMN INTST DRMA,BIOGRAPHICAL,THE WEINSTEIN COMPANY,PG-13,12/27/2013 0:00,12,3,5,2240745,3696350,975,2298,13,CHRISTMAS,7566,8323085,NA
MARSHALL,3,3,7,3,6,4,11,47,43,50,42,46,32,36,32,29,30,2,1,2,1,3,4,4,4,3,6,2,0,2,0,2,2017,69497,HUMN INTST DRMA,REAL EVENTS,OPEN ROAD FILMS,PG-13,10/13/2017 1:00,10,3,1,3000805,3951991,821,3655,11,NA,NA,10050637,NA
MASTERMINDS (2016),6.5,3,15,15,15,13,15,72,75,78,64,71,36,38,36,34,36,5,4,5,5,4,8,9,10,7,7,2,1,2,2,2,2016,47332,ZANY COMEDY,BLACK COMEDY,RELATIVITY MEDIA,PG-13,9/30/2016 1:00,9,3,1,6541205,8688325,3042,2150,6,NA,NA,17356894,NA
MAX (2015),12.2,3,20,18,18,22,21,65,68,67,63,61,29,30,28,28,32,3,3,3,1,3,9,9,8,8,10,2,2,3,1,2,2015,48525,FAMILY,LIVE ACTION,WARNER BROS.,PG,6/26/2015 1:00,6,3,1,12155254,18760777,2855,4258,4,NA,NA,42652003,NA
"MCFARLAND, USA",11,3,11,10,12,9,10,60,54,69,51,66,29,28,25,27,32,6,5,5,5,8,8,6,9,6,15,NA,NA,NA,NA,NA,2015,46123,HUMN INTST DRMA,SPORTS,DISNEY,PG,2/20/2015 0:00,2,3,1,11020798,14183981,2755,4000,4,NA,NA,44480275,NA
ME BEFORE YOU,18.7,3,18,13,14,25,21,56,41,49,65,69,32,24,24,43,35,4,2,2,11,4,10,4,5,18,14,3,1,1,8,5,2016,48901,ROMANTIC DRAMA,AFFLICTION/HANDICAP,WARNER BROS.,PG-13,6/3/2016 1:00,6,3,1,18723269,27612578,2704,6924,3,NA,NA,56228651,NA
MECHANIC: RESURRECTION,7.5,3,6,6,9,5,7,58,62,75,42,53,43,48,47,35,36,8,8,13,5,5,11,10,17,6,9,1,1,2,1,2,2016,49938,ACTION DRAMA,KILLER/MURDER,LIONS GATE FILMS,R,8/26/2016 1:00,8,3,1,7456525,10142786,2258,3302,5,NA,NA,21203260,NA
MEET THE BLACKS,4.1,3,7,6,6,8,8,49,53,53,45,46,35,31,35,36,36,2,3,3,2,2,7,8,7,5,7,1,1,1,1,1,2016,65658,ZANY COMEDY,ABOUT FAMILY,FREESTYLE RELEASING,R,4/1/2016 1:00,4,3,1,4055940,5249551,1015,3996,8,NA,NA,9098213,NA
MEGAN LEAVEY,3.8,3,3,1,4,4,2,27,30,28,24,26,28,30,27,30,26,1,1,1,0,1,3,2,3,2,5,0,0,0,0,0,2017,69299,HUMN INTST DRMA,REAL EVENTS,BLEECKER STREET MEDIA,PG-13,6/9/2017 1:00,6,3,1,3810867,5836857,1956,1948,8,NA,NA,13401065,NA
MIKE & DAVE NEED WEDDING DATES,16.6,3,13,11,11,18,14,68,64,66,76,67,36,33,27,45,39,4,3,2,9,5,8,7,5,10,10,1,1,0,2,1,2016,62254,ZANY COMEDY,ABOUT FAMILY,20TH CENTURY FOX,R,7/8/2016 1:00,7,3,1,16628170,23823716,2982,5576,4,NA,NA,46007113,NA
MILLION DOLLAR ARM,10.5,3,14,12,14,14,15,72,73,80,60,74,30,32,28,30,29,4,5,5,2,4,9,9,11,7,9,NA,NA,NA,NA,NA,2014,45926,HUMN INTST DRMA,SPORTS,DISNEY,PG,5/16/2014 1:00,5,3,1,10515659,13534805,3019,3483,4,NA,NA,36447959,NA
MINIONS,115.7,3,44,43,39,46,47,99,97,96,100,100,58,53,55,59,66,18,15,17,17,23,28,20,24,31,38,18,17,15,18,24,2015,43216,FAMILY,ANIMATED,UNIVERSAL,PG,7/10/2015 1:00,7,3,1,115718405,166491710,4301,26905,1,NA,NA,336029560,NA
MIRACLES FROM HEAVEN,14.8,3,14,11,9,17,19,65,59,62,67,73,33,25,31,35,38,6,2,3,4,12,10,5,9,10,15,1,1,0,1,4,2016,63605,HUMN INTST DRMA,SPIRITUALITY,TRISTAR PICTURES,PG,3/16/2016 1:00,3,3,1,14812393,24610013,3047,4861,3,NA,NA,61693523,NA
MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,28.9,3,19,14,13,26,21,79,71,75,87,84,52,49,39,62,56,13,10,8,23,13,24,18,15,38,24,8,4,4,13,9,2016,45451,ACTION ADVENTURE,FANTASY,20TH CENTURY FOX,PG-13,9/30/2016 1:00,9,3,1,28871140,36053483,3522,8197,1,NA,NA,87240689,NA
MISS SLOANE,1.8,3,5,5,6,5,6,38,33,48,30,41,25,26,28,22,24,1,1,3,1,1,4,3,6,2,4,0,0,0,0,0,2016,67991,SUSPNS/THRILLER,POLITICAL,EUROPACORP USA,R,12/9/2016 0:00,12,3,3,1844972,2601271,1648,1120,11,NA,4013,3500605,NA
MISSION: IMPOSSIBLE - ROGUE NATION,55.5,3,25,23,28,21,27,87,90,92,83,85,46,49,57,32,44,11,11,16,6,13,20,23,28,8,22,6,5,8,2,8,2015,46620,ACTION DRAMA,ESPIONAGE,PARAMOUNT,PG-13,7/31/2015 1:00,7,3,1,55520089,79254207,3956,14034,1,NA,NA,195000874,NA
MOANA,56.6,3,34,28,29,43,35,83,81,73,91,85,55,52,42,65,56,10,8,5,13,13,15,11,10,18,19,8,4,5,11,11,2016,49757,FAMILY,ANIMATED,DISNEY,PG,11/23/2016 0:00,11,3,1,56631401,91515330,3875,14615,1,THANKSGIVING,NA,248752120,NA
MOMS' NIGHT OUT,4.3,3,9,8,9,10,11,48,39,43,53,58,28,22,21,32,34,3,1,3,4,7,5,2,4,7,8,NA,NA,NA,NA,NA,2014,47191,HUMN INTST CMDY,WOMEN'S ISSUES,SONY PICTURES,PG,5/9/2014 1:00,5,3,1,4311083,5427432,1044,4129,7,NA,NA,10429707,NA
MONEY MONSTER,14.8,3,13,12,15,10,15,63,55,77,51,68,40,36,43,34,45,8,4,11,4,13,12,8,17,9,18,2,1,2,1,4,2016,63496,SUSPNS/THRILLER,KIDNAPPING/HOSTAGE,TRISTAR PICTURES,R,5/13/2016 1:00,5,3,1,14788157,20023647,3104,4764,3,NA,NA,41008532,NA
MONKEY KINGDOM,4.6,3,10,9,9,10,11,60,56,57,62,65,27,26,22,27,31,3,1,3,4,4,6,3,7,5,8,NA,NA,NA,NA,NA,2015,48075,DOCUMENTARY,ANIMAL THEME,DISNEY,G,4/17/2015 1:00,4,3,1,4577861,6707112,2012,2275,8,NA,NA,16427836,NA
MONSTER TRUCKS,14.2,4,17,17,18,17,17,71,69,75,67,71,33,43,32,30,28,3,3,2,4,2,8,11,8,9,7,2,2,1,2,1,2017,45815,FAMILY,LIVE ACTION,PARAMOUNT,PG,1/13/2017 0:00,1,4,1,14174039,15611554,3119,4544,6,MARTIN LUTHER KING,NA,33243820,NA
MONSTERS UNIVERSITY,82.4,3,35,31,29,41,36,95,91,90,98,97,53,47,41,67,57,12,9,6,18,14,28,24,20,38,32,NA,NA,NA,NA,NA,2013,37366,FAMILY,ANIMATED,DISNEY,G,6/21/2013 1:00,6,3,1,82429469,124825448,4004,20587,1,NA,NA,268488329,NA
MORGAN,2.5,4,10,10,10,11,8,49,56,52,46,42,36,41,38,34,31,4,5,6,4,3,11,12,12,14,7,2,3,2,2,1,2016,67513,SUSPNS/THRILLER,SCIENCE FICTION,20TH CENTURY FOX,R,9/2/2016 1:00,9,4,1,2518540,3093471,2020,1247,18,LABOR DAY,NA,3912052,NA
MORTDECAI,4.2,3,13,12,15,14,13,69,70,78,59,70,33,32,32,38,30,5,5,4,4,5,8,9,8,6,8,NA,NA,NA,NA,NA,2015,48087,ZANY COMEDY,CRIME THEME,LIONS GATE FILMS,R,1/23/2015 0:00,1,3,1,4200586,5419265,2648,1586,9,NA,NA,7688523,NA
MOTHER!,7.5,3,21,18,16,26,26,67,63,63,68,75,38,32,30,40,49,5,3,3,5,8,11,10,8,10,16,3,1,2,3,7,2017,69079,SUSPNS/THRILLER,PSYCHOLOGICAL,PARAMOUNT,R,9/15/2017 1:00,9,3,1,7534673,10169018,2368,3182,3,NA,NA,17760328,NA
MOTHER'S DAY (2016),8.4,3,16,13,16,17,18,67,55,69,69,78,32,23,30,32,41,8,4,7,8,15,12,9,8,11,21,4,2,3,4,4,2016,64343,HUMN INTST CMDY,HOLIDAY/VACATION,OPEN ROAD FILMS,PG-13,4/29/2016 1:00,4,3,1,8369184,11719690,3035,2758,4,NA,NA,32463917,NA
MOVIE 43,4.8,3,12,13,14,12,10,65,72,70,61,58,39,42,35,42,39,6,10,6,7,5,11,12,9,13,9,NA,NA,NA,NA,NA,2013,39819,ZANY COMEDY,ENSEMBLE CAST,RELATIVITY MEDIA,R,1/25/2013 0:00,1,3,1,4805878,6058274,2023,2376,7,NA,NA,8828771,NA
MR. PEABODY & SHERMAN,32.2,3,22,21,21,24,20,76,68,78,80,77,37,34,32,39,41,7,6,5,9,7,18,12,14,22,22,NA,NA,NA,NA,NA,2014,42183,FAMILY,ANIMATED,20TH CENTURY FOX,PG,3/7/2014 0:00,3,3,1,32207057,41979916,3934,8187,2,NA,NA,111505642,NA
MUPPETS MOST WANTED,17,3,26,25,25,26,29,88,86,85,88,91,34,32,30,36,39,7,5,3,10,9,16,13,14,15,22,NA,NA,NA,NA,NA,2014,42410,FAMILY,LIVE ACTION,DISNEY,PG,3/21/2014 1:00,3,3,1,17005126,21837689,3194,5324,2,NA,NA,51178893,NA
MURDER ON THE ORIENT EXPRESS (2017),28.7,3,17,11,16,13,22,78,69,87,68,78,43,41,43,42,45,12,7,13,11,14,20,16,21,17,24,4,1,3,3,6,2017,65710,SUSPNS/THRILLER,MYSTERY,20TH CENTURY FOX,PG-13,11/10/2017 0:00,11,3,1,28681472,37928362,3341,8585,3,NA,NA,102513318,NA
MY ALL AMERICAN,1.4,3,2,3,2,1,3,37,39,44,32,33,27,34,26,20,28,2,2,3,2,3,4,4,5,2,5,1,0,1,0,1,2015,63620,HUMN INTST DRMA,SPORTS,AVIRON PICTURES,PG,11/13/2015 0:00,11,3,1,1365000,1837682,1565,872,11,NA,NA,2186656,NA
MY BIG FAT GREEK WEDDING 2,17.9,3,18,15,15,21,22,81,67,81,83,93,30,17,22,36,41,8,2,4,10,13,8,3,5,11,17,1,1,1,3,2,2016,49502,ROMANTIC COMEDY,ABOUT FAMILY,UNIVERSAL,PG-13,3/25/2016 1:00,3,3,1,17861950,25363730,3133,5701,3,EASTER,NA,59573085,NA
MY LITTLE PONY: THE MOVIE (2017),8.9,3,14,7,10,16,22,73,70,66,80,80,21,18,18,18,26,4,2,1,4,7,6,3,2,7,10,3,1,1,2,7,2017,65657,FAMILY,ANIMATED,LIONS GATE FILMS,PG,10/6/2017 1:00,10,3,1,8885899,11513434,2528,3515,4,NA,NA,21870730,NA
NEED FOR SPEED,17.8,3,22,27,23,17,19,84,91,87,78,80,40,53,36,37,33,9,17,8,4,5,23,39,21,20,13,NA,NA,NA,NA,NA,2014,42944,ACTION DRAMA,CHASE,DISNEY,PG-13,3/14/2014 1:00,3,3,1,17844939,22623883,3115,5729,3,NA,NA,43568507,NA
NEIGHBORS (2014),49,3,26,24,22,31,27,86,88,81,89,85,50,56,44,57,40,11,12,6,17,9,26,30,22,33,22,NA,NA,NA,NA,NA,2014,45755,HUMN INTST CMDY,ACADEMIC SETTING,UNIVERSAL,R,5/9/2014 1:00,5,3,1,49033915,65525205,3279,14954,1,NA,NA,150056505,NA
NEIGHBORS 2: SORORITY RISING,21.8,3,22,23,20,25,21,83,84,84,81,82,39,42,36,45,35,8,9,4,9,8,17,17,14,20,14,3,3,2,5,3,2016,48480,HUMN INTST CMDY,ACADEMIC SETTING,UNIVERSAL,R,5/20/2016 1:00,5,3,1,21760405,29236580,3384,6430,3,NA,NA,55291815,NA
NERVE,9.4,3,18,15,15,25,15,57,59,45,71,55,41,38,36,50,35,5,4,2,12,3,8,8,5,17,5,2,2,0,6,1,2016,66385,SUSPNS/THRILLER,PSYCHOLOGICAL,LIONS GATE FILMS,PG-13,7/27/2016 1:00,7,3,1,9445456,21988794,2538,3722,8,NA,NA,38562379,NA
NIGHT AT THE MUSEUM: SECRET OF THE TOMB,17.1,3,26,24,24,27,28,97,98,96,98,96,48,51,39,54,49,10,10,7,15,8,20,21,16,26,16,NA,NA,NA,NA,NA,2014,44392,FAMILY,LIVE ACTION,20TH CENTURY FOX,PG,12/19/2014 0:00,12,3,1,17100520,34530716,3785,4518,2,NA,NA,113741746,NA
NIGHTCRAWLER,10.4,3,17,20,18,15,17,73,76,79,67,71,37,39,38,36,37,6,10,6,3,7,12,14,15,10,12,NA,NA,NA,NA,NA,2014,48546,SUSPNS/THRILLER,CRIME THEME,OPEN ROAD FILMS,R,10/31/2014 1:00,10,3,1,10441000,14244877,2766,3775,2,NA,NA,32359117,NA
NINE LIVES (2016),6.2,3,16,15,13,18,16,66,64,61,72,68,30,25,29,34,31,3,3,1,7,3,8,10,3,12,8,2,2,1,2,2,2016,63586,FAMILY,LIVE ACTION,EUROPACORP USA,PG,8/5/2016 1:00,8,3,1,6249915,10050825,2264,2761,6,NA,NA,19700032,NA
NO ESCAPE (2015),8.1,3,17,17,14,18,18,69,66,74,67,70,36,35,34,36,38,6,4,6,6,9,10,7,9,11,13,2,1,3,2,2,2015,48650,SUSPNS/THRILLER,ABOUT FAMILY,THE WEINSTEIN COMPANY,R,8/26/2015 1:00,8,3,1,8111264,13001079,3355,2418,4,NA,NA,27285953,NA
NO GOOD DEED (2014),24.3,3,19,18,14,21,23,65,64,63,62,71,41,44,32,41,46,9,11,3,10,13,27,26,19,26,33,NA,NA,NA,NA,NA,2014,42064,SUSPNS/THRILLER,KIDNAPPING/HOSTAGE,SONY PICTURES,PG-13,9/12/2014 1:00,9,3,1,24250283,29908052,2175,11150,1,NA,NA,52543632,NA
NOAH,43.7,3,29,27,30,26,33,88,88,94,80,91,44,40,47,41,47,13,12,14,10,14,22,20,28,17,26,NA,NA,NA,NA,NA,2014,42424,ACTION DRAMA,SPIRITUALITY,PARAMOUNT,PG-13,3/28/2014 1:00,3,3,1,43720472,55341161,3567,12257,1,NA,NA,101200044,NA
NON-STOP,28.9,3,16,14,18,15,16,63,62,71,55,63,44,43,44,39,48,10,11,9,6,12,18,19,20,14,18,NA,NA,NA,NA,NA,2014,43601,SUSPNS/THRILLER,AERIAL/NAUTICAL,UNIVERSAL,PG-13,2/28/2014 0:00,2,3,1,28875635,36738925,3090,9345,1,NA,NA,91699245,NA
NORM OF THE NORTH,9.4,4,11,10,10,10,13,41,37,43,39,47,32,36,29,30,36,3,3,1,2,3,8,10,3,8,11,2,2,1,1,4,2016,45086,FAMILY,ANIMATED,LIONS GATE FILMS,PG,1/15/2016 0:00,1,4,1,9375822,10196203,2411,3889,6,MARTIN LUTHER KING,NA,17017118,NA
NOW YOU SEE ME,29.3,3,14,14,12,15,15,66,64,68,65,69,43,43,41,45,43,7,7,4,9,10,14,15,11,15,17,NA,NA,NA,NA,NA,2013,40565,ACTION ADVENTURE,CRIME THEME,LIONS GATE FILMS,PG-13,5/31/2013 1:00,5,3,1,29254674,41874024,2925,10002,2,NA,NA,117698894,NA
NOW YOU SEE ME 2,22.4,3,18,17,15,22,16,80,83,76,81,77,44,49,39,46,44,9,10,8,9,6,19,16,16,23,20,3,2,3,4,3,2016,48653,ACTION ADVENTURE,CRIME THEME,LIONS GATE FILMS,PG-13,6/10/2016 1:00,6,3,1,22383146,31712529,3232,6925,3,NA,NA,65030563,NA
OBLIVION,37.1,3,24,27,27,20,24,81,89,87,71,79,44,45,52,36,42,12,10,15,11,10,25,26,34,20,23,NA,NA,NA,NA,NA,2013,40198,ACTION DRAMA,SCIENCE FICTION,UNIVERSAL,PG-13,4/19/2013 1:00,4,3,1,37054485,47287500,3783,9795,1,NA,NA,89021735,NA
OCULUS,12,3,16,14,16,16,16,59,60,61,58,56,30,30,28,34,30,4,3,3,8,5,8,6,6,10,9,NA,NA,NA,NA,NA,2014,46850,HORROR,SUPERNATURAL,RELATIVITY MEDIA,R,4/11/2014 1:00,4,3,1,12005402,15989391,2648,4534,3,NA,NA,27689474,NA
OFFICE CHRISTMAS PARTY,16.9,3,23,24,22,21,26,82,77,86,75,88,47,48,44,47,50,10,10,11,7,12,26,25,28,22,27,3,4,3,2,5,2016,66794,ZANY COMEDY,CHRISTMAS/THANKSGIVING,PARAMOUNT,R,12/9/2016 0:00,12,3,1,16890204,23068267,3210,5262,2,NA,NA,54730514,NA
OLYMPUS HAS FALLEN,30.4,3,18,23,17,15,17,70,79,79,61,63,49,54,54,40,46,13,19,15,5,11,24,34,34,11,18,NA,NA,NA,NA,NA,2013,42866,ACTION DRAMA,ESPIONAGE,FILMDISTRICT,R,3/22/2013 1:00,3,3,1,30373794,40742669,3098,9804,2,NA,NA,98895417,NA
ONE DIRECTION: THIS IS US,18.5,4,10,7,7,15,9,60,58,47,77,57,18,13,14,28,14,3,0,0,10,2,6,0,2,18,4,NA,NA,NA,NA,NA,2013,42631,DOCUMENTARY,MUSIC-THEMED,SONY PICTURES,PG,8/30/2013 1:00,8,4,1,18472875,19890510,2735,6754,2,LABOR DAY,NA,28873374,NA
ONLY THE BRAVE (2017),6,3,6,5,6,4,6,55,52,63,41,55,33,38,34,30,31,2,1,4,0,2,6,3,6,2,8,1,0,1,1,1,2017,67617,HUMN INTST DRMA,REAL EVENTS,SONY PICTURES,PG-13,10/20/2017 1:00,10,3,1,6002665,8490057,2577,2329,5,NA,NA,18340051,NA
OUIJA (2014),19.9,3,24,21,20,31,22,77,77,74,85,73,33,35,29,38,29,9,8,7,14,7,13,12,11,21,9,NA,NA,NA,NA,NA,2014,38826,HORROR,SUPERNATURAL,UNIVERSAL,PG-13,10/24/2014 1:00,10,3,1,19875995,24062970,2858,6955,1,NA,NA,50820940,NA
OUR BRAND IS CRISIS (2015),3.2,3,5,5,6,4,6,47,41,54,38,56,29,28,28,27,33,3,1,1,3,5,3,2,4,3,7,0,0,0,0,0,2015,64414,HUMN INTST CMDY,POLITICAL,WARNER BROS.,R,10/30/2015 1:00,10,3,1,3238433,4500632,2202,1471,8,NA,NA,6998324,NA
OUT OF THE FURNACE,5.2,3,5,6,6,3,5,42,39,55,29,45,33,35,36,26,33,2,2,3,0,2,9,11,13,4,8,NA,NA,NA,NA,NA,2013,41981,ACTION DRAMA,REVENGE,RELATIVITY MEDIA,R,12/4/2013 0:00,12,3,1,5220288,7148462,2101,2485,3,NA,NA,11326836,NA
OZ THE GREAT AND POWERFUL,79.1,3,45,39,43,50,51,88,84,90,87,89,60,50,59,62,68,30,20,32,32,37,43,35,44,44,50,NA,NA,NA,NA,NA,2013,39615,FAMILY,FANTASY,DISNEY,PG,3/8/2013 0:00,3,3,1,79110453,102803624,3912,20223,1,NA,NA,234903076,NA
PACIFIC RIM,37.3,3,20,23,23,15,18,67,74,80,53,60,35,40,38,29,29,8,13,10,4,5,14,19,20,6,10,NA,NA,NA,NA,NA,2013,40202,ACTION DRAMA,SCIENCE FICTION,WARNER BROS.,PG-13,7/12/2013 1:00,7,3,1,37285325,52280292,3275,11385,3,NA,NA,101785482,NA
PADDINGTON,25.5,4,21,16,19,22,25,71,60,68,72,84,29,28,24,27,34,5,3,4,5,6,9,7,8,11,13,NA,NA,NA,NA,NA,2015,46159,FAMILY,LIVE ACTION,THE WEINSTEIN COMPANY,PG,1/16/2015 0:00,1,4,1,25494139,27671430,3303,7718,2,MARTIN LUTHER KING,NA,76180599,NA
PAIN & GAIN,20.2,3,19,20,21,15,19,70,71,77,63,67,37,40,37,35,36,6,8,7,6,5,19,21,21,18,15,NA,NA,NA,NA,NA,2013,41983,ACTION COMEDY,CRIME THEME,PARAMOUNT,R,4/26/2013 1:00,4,3,1,20244505,26319075,3277,6178,1,NA,NA,49874933,NA
PAN,15.3,3,34,32,33,36,34,81,82,83,79,82,41,39,38,46,43,7,5,6,11,6,15,11,12,21,16,7,6,7,8,7,2015,46866,FAMILY,LIVE ACTION,WARNER BROS.,PG,10/9/2015 1:00,10,3,1,15315435,19878183,3515,4357,3,COLUMBUS DAY,NA,35081641,NA
PAPER TOWNS,12.7,3,19,19,13,29,16,62,63,46,76,64,32,30,17,46,26,5,2,1,18,3,8,6,2,22,6,4,3,0,13,2,2015,49103,ROMANTIC DRAMA,ACADEMIC SETTING,20TH CENTURY FOX,PG-13,7/24/2015 1:00,7,3,1,12650140,19216439,3031,4174,6,NA,NA,31990064,NA
PARANOIA,3.5,3,10,10,10,10,9,68,68,67,64,72,33,31,33,32,36,4,6,3,2,3,5,7,6,5,6,NA,NA,NA,NA,NA,2013,42528,SUSPNS/THRILLER,WORKPLACE SETTING,RELATIVITY MEDIA,PG-13,8/16/2013 1:00,8,3,1,3528376,4937042,2459,1435,13,NA,NA,7376027,NA
PARANORMAL ACTIVITY: THE GHOST DIMENSION,8.1,3,16,17,13,18,14,78,82,72,89,73,37,42,28,42,31,8,7,5,14,7,12,12,8,19,10,2,1,1,3,3,2015,43903,HORROR,SUPERNATURAL,PARAMOUNT,R,10/23/2015 1:00,10,3,1,8070493,10119623,1656,4873,6,NA,NA,18247445,NA
PARANORMAL ACTIVITY: THE MARKED ONES,18.3,3,12,16,11,11,9,72,77,67,76,67,31,38,26,36,24,6,9,4,9,3,11,16,7,12,6,NA,NA,NA,NA,NA,2014,45856,HORROR,SUPERNATURAL,PARAMOUNT,R,1/3/2014 0:00,1,3,1,18343611,22171389,2867,6398,2,NEW YEAR,NA,32453345,NA
PARKER,7,3,9,10,12,7,7,54,58,67,40,51,34,38,35,25,33,3,5,5,1,2,8,10,11,4,5,NA,NA,NA,NA,NA,2013,40589,ACTION DRAMA,CRIME THEME,FILMDISTRICT,R,1/25/2013 0:00,1,3,1,7008222,9224882,2224,3151,5,NA,NA,17609982,NA
PASSENGERS (2016),22.4,4,26,26,23,26,27,80,77,80,80,81,44,44,44,44,43,10,9,9,10,9,10,10,10,11,10,7,7,5,8,8,2016,46680,ACTION DRAMA,SCIENCE FICTION,SONY PICTURES,PG-13,12/21/2016 0:00,12,4,1,22390906,45103613,3478,6438,3,CHRISTMAS,NA,100014092,NA
PATRIOTS DAY,13.8,4,12,12,13,12,12,74,73,82,67,75,37,37,38,31,42,8,6,10,6,10,9,8,10,7,10,2,2,2,2,2,2017,66460,HUMN INTST DRMA,CRIME THEME,LIONS GATE FILMS,R,1/13/2017 0:00,1,4,4,13753384,16715863,3120,4408,7,MARTIN LUTHER KING,NA,31856991,NA
PAUL BLART: MALL COP 2,23.8,3,25,24,26,26,23,93,95,92,92,92,44,50,40,46,41,10,13,8,10,9,18,22,17,16,17,NA,NA,NA,NA,NA,2015,43739,ZANY COMEDY,HOLIDAY/VACATION,SONY PICTURES,PG,4/17/2015 1:00,4,3,1,23762435,28448184,3633,6541,2,NA,NA,71038190,NA
PENGUINS OF MADAGASCAR,25.4,3,22,22,19,23,23,91,89,89,92,93,39,39,30,41,45,6,5,5,5,7,11,12,8,8,14,NA,NA,NA,NA,NA,2014,43322,FAMILY,ANIMATED,20TH CENTURY FOX,PG,11/26/2014 0:00,11,3,1,25447444,38490536,3764,6761,2,THANKSGIVING,NA,83348920,NA
PERCY JACKSON: SEA OF MONSTERS,14.4,3,24,23,22,28,24,82,91,79,85,77,39,41,33,45,35,8,11,6,10,6,16,19,11,20,12,NA,NA,NA,NA,NA,2013,41084,FAMILY,LIVE ACTION,20TH CENTURY FOX,PG,8/7/2013 1:00,8,3,1,14401054,30528658,3031,4751,4,NA,NA,68558662,NA
PETE'S DRAGON (2016),21.5,3,26,26,21,31,28,85,84,82,84,89,37,36,30,36,46,7,6,3,11,10,14,12,8,14,18,5,5,1,7,6,2016,62337,FAMILY,LIVE ACTION,DISNEY,PG,8/12/2016 1:00,8,3,1,21514095,31561269,3702,5811,3,NA,NA,76228119,NA
